id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,location,price,city,reviews
3444,Four Points by Sheraton Grande Prairie,4.5,Excellent,"['Pool', 'Room service', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",6702 106 St Grande Prairie Alberta,Canada,"(55.1834594, -118.8177351)",131.0,Alberta,Wonderful
3445,Holiday Inn Express Grande Prairie,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Pool', 'Free parking', 'Breakfast included', 'Airport transportation', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']",10226 117 Ave Grande Prairie Alberta,Canada,"(55.1861902245692, -118.802171377567)",130.0,Alberta,Wonderful
3448,Paradise Inn & Conference Centre,3.0,Average,"['Restaurant', 'Free parking', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Breakfast included', 'Airport transportation', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Family Rooms', 'Non-smoking rooms', 'Suites']",11201 Grande Prairie Alberta,Canada,"(55.1709919, -118.7948882)",125.0,Alberta,Wonderful
3450,Stonebridge Hotel Grande Prairie,4.0,Very good,"['Room service', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']",12102 100 St Grande Prairie Alberta,Canada,"(55.1896489, -118.795674)",129.0,Alberta,Exceptional
3454,Canadian Motor Inn,3.0,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Self-Serve Laundry', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",10901 100 Ave Grande Prairie Alberta,Canada,"(55.1702031, -118.8211799)",89.0,Alberta,Exceptional
3456,Thriftlodge Grande Prairie,2.5,Average,"['Free High Speed Internet (WiFi)', 'Concierge', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",10923 100 Ave Grande Prairie Alberta,Canada,"(55.1702245, -118.8260241)",89.0,Alberta,Very Good
3457,Prairie Haven Motel,1.5,Poor,"['Free High Speed Internet (WiFi)', 'Laundry Service', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room']",12002 100 St Grande Prairie Alberta,Canada,"(55.1891759073991, -118.795676814092)",89.0,Alberta,Very Good
3468,Holiday Inn Hotel & Suites St. Catharines Conference Centre,4.0,Very good,"['Pool', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Free High Speed Internet (WiFi)', 'Free parking', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Electric vehicle charging station', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']",327 Ontario St St. Catharines Ontario,Canada,"(43.1701106, -79.2654372)",113.0,Ontario,Very Good
3475,Best Western St. Catharines Hotel & Conference Centre,4.0,Very good,"['Pool', 'Free parking', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Restaurant', 'Breakfast included', 'Room service', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Microwave', 'Family Rooms', 'Non-smoking rooms']",2 North Service Rd St. Catharines Ontario,Canada,"(43.1780959, -79.2502856)",102.0,Ontario,Wonderful
3476,Canadas Best Value Inn - St. Catharines,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Pool', 'Multilingual Staff', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Smoking rooms available']",420 Ontario St St. Catharines Ontario,Canada,"(43.1783095, -79.2665946)",79.0,Ontario,Wonderful
