id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,location,price,city,reviews
3745,Alpen Motel,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms']",5022 Highway 93 Radium Hot Springs British Columbia,Canada,"(50.6226467, -116.0709633)",89.0,Columbia,Exceptional
3746,Radius,5.0,Excellent,"['Free parking', 'Pets Allowed ( Dog / Pet Friendly )']",7058 Hwy 95 Radium Hot Springs British Columbia,Canada,"(50.6454079087094, -116.07795724982)",132.0,Columbia,Wonderful
3747,Sunset Motel,3.0,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",4883 McKay Street Radium Hot Springs British Columbia,Canada,"(50.618174722104, -116.070024719198)",75.0,Columbia,Very Good
3748,Crystal Springs Motel,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",4852 Radium Blvd Radium Hot Springs British Columbia,Canada,"(50.6206283, -116.0745664)",74.0,Columbia,Very Good
3755,Lido Motel,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",4876 McKay Street Radium Hot Springs British Columbia,Canada,"(50.6180062183644, -116.069920832937)",90.0,Columbia,Exceptional
3759,Mountain Springs Motel,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",4870 Radium Blvd Radium Hot Springs British Columbia,Canada,"(50.620727, -116.0742325)",78.0,Columbia,Good
3764,Ramada by Wyndham Lethbridge,3.5,Very good,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Restaurant', 'Breakfast Available', 'Business Centre with Internet Access', 'Dry Cleaning', 'Meeting rooms', 'Non-smoking hotel', 'Sauna', 'Wheelchair Access', 'Microwave', 'Non-smoking rooms']",1303 Mayor Magrath Dr S Lethbridge Alberta,Canada,"(49.6758855, -112.8014046)",116.0,Alberta,Good
3766,Sandman Hotel Lethbridge,3.5,Very good,"['Room service', 'Restaurant', 'Pool', 'Free parking', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",421 Mayor Magrath Dr S Lethbridge Alberta,Canada,"(49.6758855, -112.8014046)",93.0,Alberta,Good
3767,Travelodge Lethbridge,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Golf Course', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms']",1009 Mayor Magrath Dr S Lethbridge Alberta,Canada,"(55.001251, -115.002136)",90.0,Alberta,Good
3769,Super 8 by Wyndham Lethbridge,3.0,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Breakfast Available', 'Indoor pool', 'Meeting rooms', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Smoking rooms available', 'Suites']",1030 Mayor Magrath Dr S Lethbridge Alberta,Canada,"(49.6758855, -112.8014046)",98.0,Alberta,Good
3772,Holiday Inn Lethbridge,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Pool', 'Room service', 'Restaurant', 'Bar/Lounge', 'Airport transportation', 'Banquet Room', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']",2375 Mayor Magrath Dr S Lethbridge Alberta,Canada,"(49.6758855, -112.8014046)",147.0,Alberta,Bad
3775,Knights Inn Lethbridge,3.0,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Business Centre with Internet Access', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']",1026 Mayor Magrath Dr S Lethbridge Alberta,Canada,"(49.6758855, -112.8014046)",69.0,Alberta,Good
3776,Motel 6 Lethbridge AB,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Pool', 'Business Centre with Internet Access', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",1142 Mayor Magrath Dr S Lethbridge Alberta,Canada,"(49.6758855, -112.8014046)",80.0,Alberta,Very Poor
3777,Chinook Motel,3.0,Average,"['Free High Speed Internet (WiFi)', 'Restaurant', 'Spa', 'Business Centre with Internet Access', 'Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Sauna', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",1245 Mayor Magrath Dr S Lethbridge Alberta,Canada,"(49.6758855, -112.8014046)",65.0,Alberta,Good
3789,Hampton Inn & Suites by Hilton Barrie,4.5,Excellent,"['Pool', 'Free parking', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']",74 Bryne Dr Barrie Ontario,Canada,"(44.3540363071372, -79.6939630216905)",105.0,Ontario,Good
3792,Horseshoe Resort,3.5,Very good,"['Pool', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free parking', 'Banquet Room', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Conference Facilities', 'Golf Course', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Ski-In / Ski-Out', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']",1101 Horseshoe Valley Rd W Barrie Ontario,Canada,"(50.000678, -86.000977)",119.0,Ontario,Pleasant
